"","SampleID","CollectionDate","Location","Latitude","Longitude","SnowColor","CellDensity","Astaxanthin","Lutein","ChlA","ChlB","BetaC","Pheophorbide","Pheophytin"
"1","2024-8-12-CK-algae1","8/12/2024","Camp Kiser",48.81630987,-121.7593849,"red",4511,3.66788670733333,0,23.2569451706667,51.12571791,67.7216427233333,4.47595538666667,32.05055182
"2","2024-8-12-CK-algae2","8/12/2024","Camp Kiser",48.8165618,-121.7593942,"red",6144,3.390108168,16.7176660133333,32.03687642,51.5528431166667,102.4982979,3.48169831633333,37.76253891
"3","2024-8-12-CK-algae3","8/12/2024","Camp Kiser",48.81660346,-121.7594374,"red",20671,9.824605641,139.5897287,109.946148346667,332.351101966667,685.040179733333,6.14412387933333,125.800093493333
"4","2024-8-12-CK-algae4","8/12/2024","Camp Kiser",48.81659306,-121.7595671,"red",13298,18.326312317,14.8156304,66.28589009,122.90772052,208.703197426667,4.92741593,81.73157768
"5","2024-8-12-CK-algae5","8/12/2024","Camp Kiser",48.81668639,-121.7595132,"red",8181,3.953864778,7.54485686,63.2165515233333,142.395185233333,392.3703331,4.35432560733333,68.67634457
"6","2024-8-12-CK-algae6","8/12/2024","Camp Kiser",48.81662289,-121.7593486,"red",5909,2.66720169333333,0,18.6563558933333,32.7404155783333,87.3200112466667,4.449635548,36.36269875
"7","2024-8-12-CK-algae7","8/12/2024","Camp Kiser",48.81666816,-121.7593851,"red",19645,4.538300003,24.63047726,83.7880955266667,202.991789733333,529.626749633333,4.59522162833333,88.33437089
"8","2024-8-12-CK-algae8","8/12/2024","Camp Kiser",48.81587518,-121.7608124,"red",6127,2.33877879666667,8.09682866666667,30.8300984933333,64.2172345966667,164.501337476667,4.029755244,32.4452993
"9","2024-8-12-CK-algae9","8/12/2024","Camp Kiser",48.81559079,-121.7606725,"red",8568,3.04382472133333,0,38.3476593633333,67.4117866966667,100.32580223,4.66415544233333,30.6463474066667
"10","2024-8-12-CK-algae10","8/12/2024","Camp Kiser",48.81500655,-121.7611347,"red",12962,5.67013061433333,15.723077,67.4427840433333,195.930621033333,454.888163233333,8.80621982466667,103.095034493333
"11","2024-8-12-CK-algae11","8/12/2024","Camp Kiser",48.81491741,-121.760998,"red",10863,2.93011347633333,9.58954827666667,65.8512514166667,116.10943903,260.817892166667,4.282093889,69.05721707
"12","2024-8-12-CK-algae12","8/12/2024","Camp Kiser",48.81486314,-121.7609674,"red",6363,2.16700988066667,0,28.8880748133333,59.08883792,118.956840333333,3.73798274466667,36.3141494233333
"13","2024-8-12-CK-algae13","8/12/2024","Camp Kiser",48.81485787,-121.7610606,"red",21277,114.777761133333,223.276145733333,117.902379333333,263.233729466667,556.8929404,3.852321089,85.0290459566667
"14","2024-8-12-CK-algae14","8/12/2024","Camp Kiser",48.81485466,-121.7610492,"red",11800,74.9503253666667,124.265672423333,81.34438509,174.7999661,275.424935666667,2.84043935566667,58.3693334933333
"15","2024-8-12-CK-algae15","8/12/2024","Camp Kiser",48.81475611,-121.7612802,"red",9073,42.1575935933333,17.602354473,42.21518675,72.25969969,116.222668046667,1.942715916,31.5751924366667
"16","2024-8-12-CK-algae16","8/12/2024","Camp Kiser",48.81412405,-121.7609705,"red",8501,22.70231966,16.9865111883333,21.23644442,92.27163237,104.107929376667,0.977246254666667,28.4671118033333
"17","2024-8-12-CK-algae17","8/12/2024","Camp Kiser",48.8141069,-121.7610466,"red",31882,10.4861246703333,17.6921973613333,44.23432053,102.53434018,158.816851776667,2.3789853,32.5977082533333
"18","2024-8-12-CK-algae18","8/12/2024","Camp Kiser",48.81411291,-121.7609751,"red",23533,60.25207402,65.0973759866667,79.8900552133333,163.940407366667,257.9549629,2.06877416066667,52.1374634933333
"19","2024-8-12-CK-algae19","8/12/2024","Camp Kiser",48.81400872,-121.7609889,"red",17524,91.4760603566667,43.13333163,67.3063285333333,177.3239448,228.14545,2.35988376066667,67.6159385433333
"20","2024-8-12-CK-algae20","8/12/2024","Camp Kiser",48.81398447,-121.7610104,"red",4478,35.6173392833333,25.0496780466667,30.9371627033333,100.68215245,118.805818733333,1.176561788,33.3803440066667
"21","2024-8-13-CK-algae21","8/13/2024","Camp Kiser",48.81497275,-121.7611025,"red",28583,62.62909214,30.4165307633333,123.020648113333,222.855367533333,369.591384733333,9.03015608066667,77.3375569033333
"22","2024-8-13-CK-algae22","8/13/2024","Camp Kiser",48.81494045,-121.7610649,"red",44238,21.5079153433333,15.9297143133333,87.8433408033333,200.863100266667,330.898781866667,1.59375431533333,72.2810446466667
"23","2024-8-13-CK-algae23","8/13/2024","Camp Kiser",48.81490907,-121.7611108,"red",29761,38.5130347756667,16.8693840066667,88.0672818166667,161.9970266,295.542203133333,2.24416108733333,57.9277336266667
"24","2024-8-13-CK-algae24","8/13/2024","Camp Kiser",48.8148562,-121.7610503,"red",29021,40.7894748113333,27.1508844333333,178.1433428,325.372382,517.433471733333,1.78655866133333,94.1004508933333
"25","2024-8-13-CK-algae25","8/13/2024","Camp Kiser",48.81487453,-121.76099,"red",4814,33.2429573533333,59.53845107,40.22217016,86.36628765,123.12377319,1.67818175433333,37.30520258
"26","2024-8-13-CK-algae26","8/13/2024","Camp Kiser",48.81656911,-121.759007,"algae-free",1162,5.488968003,24.9648214,5.53244166533333,24.7022175433333,31.4192134333333,0,9.056478647
"27","2024-8-13-CK-algae27","8/13/2024","Camp Kiser",48.81638488,-121.7602009,"algae-free",2188,0.432492,2.66180464933333,2.19253009433333,15.2288112133333,20.07586122,0,6.28423467766667
"28","2024-8-13-CK-algae28","8/13/2024","Camp Kiser",48.8162471,-121.7607746,"algae-free",926,0,14.60090105,0,5.94246,0,0,0
"29","2024-8-13-CK-algae29","8/13/2024","Camp Kiser",48.81612833,-121.7609847,"algae-free",0,0,0,0,1.393314667,0,3.360049778,0
"30","2024-8-13-CK-algae30","8/13/2024","Camp Kiser",48.8158955,-121.7606754,"algae-free",84,0,12.8550725,0,2.63829625,0,12.186855,0.37177625
"31","2024-8-13-CK-algae31","8/13/2024","Camp Kiser",48.81569995,-121.7605075,"algae-free",219,0,0,0,2.971465532,0,0,0
"32","2024-8-13-CK-algae32","8/13/2024","Camp Kiser",48.8155587,-121.7602773,"algae-free",657,0.786154839,0,0,14.8053329,0,20.77167613,2.932420645
"33","2024-8-13-CK-algae33","8/13/2024","Camp Kiser",48.81533781,-121.7605931,"algae-free",1364,6.30177241366667,22.2272987263333,9.85765189766667,26.0826398033333,28.79983231,32.50448057,9.134400362
"34","2024-8-13-CK-algae34","8/13/2024","Camp Kiser",48.81525518,-121.7612704,"algae-free",387,0.193618333,0,0,3.009775,0,0,0
"35","2024-8-13-CK-algae35","8/13/2024","Camp Kiser",48.8155053,-121.7614429,"algae-free",185,0,0,0,4.682296216,0.675461622,0,0
"36","2024-8-13-CK-algae36","8/13/2024","Camp Kiser",48.8152147,-121.7624364,"algae-free",269,0,0,0,0,7.692634667,1.536916444,1.427359111
"37","2024-8-13-CK-algae37","8/13/2024","Camp Kiser",48.81474141,-121.7617216,"algae-free",724,NA,NA,NA,NA,NA,NA,NA
"38","2024-8-13-CK-algae39","8/13/2024","Camp Kiser",48.81433794,-121.7616921,"algae-free",185,0,0,0,0.0374992,0,0,0.5587376
"39","2024-8-13-CK-algae40","8/13/2024","Camp Kiser",48.81419316,-121.7619577,"algae-free",51,0,0,0,0,0,0,0
"40","2024-8-13-CK-algae41","8/13/2024","Camp Kiser",48.81371654,-121.7616803,"algae-free",67,0,0,0,0,0,0,0
"41","2024-8-13-CK-algae42","8/13/2024","Camp Kiser",48.81372372,-121.7616067,"algae-free",0,0,0,0,0,0,0,0
"42","2024-8-13-CK-algae43","8/13/2024","Camp Kiser",48.81367727,-121.7616345,"algae-free",387,0,0,0,0,0,0,0
"43","2024-8-13-CK-algae44","8/13/2024","Camp Kiser",48.81655542,-121.7592658,"algae-free",2340,13.26937375,0.8996875,33.9360825,61.2946575,8.80386625,0.5172725,22.19601875
"44","2024-8-13-CK-algae45","8/13/2024","Camp Kiser",48.81647776,-121.7592552,"algae-free",168,0,0,0,3.853832222,0,0,1.121606667
"45","2024-8-13-CK-algae46","8/13/2024","Camp Kiser",48.81487847,-121.7611394,"red",29054,50.9588778033333,74.7524229033333,83.9705331766667,218.853089466667,186.968055086667,2.28086142833333,66.75407403
"46","2024-8-13-CK-algae47","8/13/2024","Camp Kiser",48.81446679,-121.7610556,"red",7575,8.378729372,9.36219118433333,18.749839806,50.5917387066667,48.0969868266667,0.805556467666667,19.8080764166667
"47","2024-8-13-CK-algae48","8/13/2024","Camp Kiser",48.81486418,-121.7611876,"red",11548,24.7767888866667,26.706734276,29.21960494,65.1142440633333,58.2621885166667,1.79160554966667,20.08565692
"48","2024-8-13-CK-algae49","8/13/2024","Camp Kiser",48.81480472,-121.7611575,"red",44945,54.02684106,97.7097331566667,98.28108859,168.4268764,178.454304766667,3.844517709,52.78316606
"49","2024-8-13-CK-algae50","8/13/2024","Camp Kiser",48.81388021,-121.7606472,"red",10252,38.0014937066667,60.42060494,43.9191482933333,93.7393489533333,59.7829519366667,1.77348930066667,30.2898436566667
"50","2024-8-12-CK-algae51","8/12/2024","Camp Kiser",48.81610604,-121.759769,"red",29997,92.2341659666667,176.3517807,95.2533847,190.705076633333,366.481725166667,4.99250729533333,61.25305229
"51","2024-8-12-CK-algae57","8/12/2024","Camp Kiser",48.81342448,-121.7616955,"algae-free",14712,1.920954429,82.53215514,39.45836871,54.60641257,20.46722757,5.656405571,17.02080429
"52","2024-8-12-CK-algae58","8/12/2024","Camp Kiser",48.81339026,-121.7616494,"algae-free",2138,0,19.38521131,2.734701029,14.49872594,7.421910057,2.927746743,4.3547944
"53","2024-8-12-CK-algae59","8/12/2024","Camp Kiser",48.81369921,-121.7618674,"algae-free",21951,4.120612889,0,0,17.04078444,38.12138667,2.632570667,4.825912
"54","2024-8-12-CK-algae60","8/12/2024","Camp Kiser",48.81375506,-121.7620671,"algae-free",2525,3.290253846,6.268299179,0,12.60435292,19.002804,0.864824308,3.769260513
"55","2024-8-12-CK-algae61","8/12/2024","Camp Kiser",48.81381757,-121.7621884,"algae-free",690,4.63155250233333,6.99584565366667,0.802303652333333,8.02788168566667,19.58079143,0.800194000666667,2.73322395433333
"56","2024-8-12-CK-algae62","8/12/2024","Camp Kiser",48.81403746,-121.7618749,"red",9864,33.2995950933333,39.68511339,20.9700784543333,47.3214849033333,72.7679828,1.626129583,14.0164361866667
"57","2024-8-12-CK-algae63","8/12/2024","Camp Kiser",48.81419519,-121.7608468,"red",28819,114.962093466667,79.0377225733333,79.574031,188.453803833333,45.7989817466667,0.630826006333333,63.3631838166667
"58","2024-8-12-CK-algae64","8/12/2024","Camp Kiser",48.81412261,-121.7609826,"red",21446,89.55710402,18.593165148,93.5257718633333,179.460011946667,141.526255733333,2.48520936266667,89.4188548033333
"59","2024-8-12-CK-algae65","8/12/2024","Camp Kiser",48.81413125,-121.7610492,"red",11716,13.0972255366667,3.56151626333333,32.81358394,62.41616928,17.05693232,0.501858185333333,35.7665196466667
"60","2024-8-12-CK-algae66","8/12/2024","Camp Kiser",48.81466926,-121.7611103,"red",45450,98.2273796333333,55.2720889466667,97.4710869433333,197.072341866667,114.82702699,0.166699619,85.6451995566667
"61","2024-8-12-CK-algae67","8/12/2024","Camp Kiser",48.8155044,-121.7622684,"red",22776,59.13491152,9.51643966666667,55.78049267,126.588506336667,44.42781369,0.774351058333333,53.7884406033333
"62","2024-8-12-CK-algae68","8/12/2024","Camp Kiser",48.81632295,-121.7605064,"algae-free",67,0,0,0,0,9.856561181,1.504481013,0.461346835
"63","2024-8-12-CK-algae69","8/12/2024","Camp Kiser",48.81653258,-121.7602271,"red",9376,7.62596772,15.8247221066667,44.3671363,45.1723424166667,68.0206958733333,4.556599922,64.46907431
"64","2024-8-12-CK-algae70","8/12/2024","Camp Kiser",48.81667381,-121.7601158,"red",6599,NA,NA,NA,NA,NA,NA,NA
"65","2024-8-12-CK-algae71","8/12/2024","Camp Kiser",48.81667277,-121.7594811,"red",15335,1.96870068966667,0.861605761333333,17.3125025066667,93.5390126033333,107.879639933333,5.061829397,64.6443935366667
"66","2024-8-12-CK-algae72","8/12/2024","Camp Kiser",48.81658008,-121.7592829,"red",21984,11.2962013783333,7.74154612366667,11.12758938,32.72597208,110.61556266,3.430809755,45.0550234466667
"67","2024-8-12-CK-algae73","8/12/2024","Camp Kiser",48.81654956,-121.7593009,"red",11969,11.743213411,17.9892742223333,0.803182666666667,42.4853474066667,146.85593627,7.13984364133333,111.895858263333
"68","2024-8-12-CK-algae75","8/12/2024","Camp Kiser",48.81612422,-121.7598417,"red",23634,268.0790153,202.013075966667,389.132211766667,553.228209666667,149.766219533333,14.02443554,64.7486329133333
"69","2024-8-12-CK-algae76","8/12/2024","Camp Kiser",48.81632946,-121.75986,"red",42555,229.2139156,156.348159733333,517.701662433333,652.044524433333,308.8877464,9.68843694833333,114.0209389
"70","2024-8-12-CK-algae77","8/12/2024","Camp Kiser",48.8163288,-121.7598568,"red",64573,128.506756713333,61.61591388,324.6581685,420.0192193,226.476660066667,5.705651467,76.1118160133333
"71","2024-8-12-CK-algae78","8/12/2024","Camp Kiser",48.81632833,-121.7598548,"red",13972,24.7179668833333,16.23256701,62.45135171,120.60965004,38.06993231,3.11222075433333,20.4381198
"72","2024-8-12-CK-algae79","8/12/2024","Camp Kiser",48.81632759,-121.759862,"red",4124,0,0,3.46019971433333,32.4690305,19.5436433066667,0.375369697,15.5026686633333
"73","2024-8-12-CK-algae80","8/12/2024","Camp Kiser",48.81632585,-121.7598627,"red",7053,4.61836760633333,3.46389580666667,22.133353778,43.5613976,27.9659267233333,2.04662353433333,14.77788974
"74","2024-8-12-CK-algae81","8/12/2024","Camp Kiser",48.81661165,-121.7594161,"algae-free",3299,0,0,19.85029892,41.97384624,41.77520323,0,21.26050215
"75","2024-8-12-CK-algae82","8/12/2024","Camp Kiser",48.81660907,-121.7594141,"red",5404,4.52496389,0,33.4072836733333,111.387200833333,263.059798833333,1.71294119666667,56.0801767933333
"76","2024-8-12-CK-algae83","8/12/2024","Camp Kiser",48.81660517,-121.7594098,"red",3097,0,0,19.1550630546667,59.2441355333333,74.5604063933333,0.803207229666667,25.87963451
"77","2024-8-12-CK-algae84","8/12/2024","Camp Kiser",48.81660236,-121.7594072,"red",4629,2.49937227266667,0,35.9808853266667,115.726427356667,234.515243666667,0.456561363666667,49.5892689433333
"78","2024-8-12-CK-algae85","8/12/2024","Camp Kiser",48.81659836,-121.7594002,"red",7609,0,0,56.8956742466667,138.112536826667,205.191033966667,0.883944534666667,61.7842871866667
"79","2024-8-12-CK-algae86","8/12/2024","Camp Kiser",48.81666994,-121.7594843,"red",13787,3.23299363633333,4.14482909,34.32071066,140.006670766667,175.1711199,0.833819354,57.37779155
